ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
CD,La Seu D'urgell - la Seu D'urgell - Bellestar,LA_SEU_DURGELL___LA_SEU_DURGELL___BELLESTAR_CD,2026-01-22,2026-01-22 06:46:09,https://www.meteo.cat/observacions/xema/dades?codi=CD&dia=2026-01-22T09:00Z,,99%,0.0 mm,996.6 hPa,0.0 MJ/m2,8.3 km/h - 342º 1:56 TU,3.2 °C 0:29 TU,2.8 °C 5:00 TU,3.1 °C
UB,La Tallada D'empordà - la Tallada D'empordà,LA_TALLADA_DEMPORDA___LA_TALLADA_DEMPORDA_UB,2026-01-22,2026-01-22 06:46:11,https://www.meteo.cat/observacions/xema/dades?codi=UB&dia=2026-01-22T09:00Z,,84%,0.0 mm,,0.0 MJ/m2,28.8 km/h - 235º 1:18 TU,11.7 °C 0:00 TU,7.4 °C 4:10 TU,10.2 °C
ZD,La Tosa D'alp (2.478 m),LA_TOSA_DALP_2478_M_ZD,2026-01-22,2026-01-22 06:46:14,https://www.meteo.cat/observacions/xema/dades?codi=ZD&dia=2026-01-22T09:00Z,,100%,,,0.0 MJ/m2,0.0 km/h - 0º 0:00 TU,-4.6 °C 0:57 TU,-5.3 °C 5:26 TU,-4.9 °C
W9,La Vall D'en Bas - la Vall D'en Bas,LA_VALL_DEN_BAS___LA_VALL_DEN_BAS_W9,2026-01-22,2026-01-22 06:46:16,https://www.meteo.cat/observacions/xema/dades?codi=W9&dia=2026-01-22T09:00Z,,80%,0.0 mm,,0.0 MJ/m2,39.2 km/h - 235º 0:11 TU,9.6 °C 0:54 TU,6.4 °C 5:29 TU,8.3 °C
Z2,La Vall de Boí - Boí (2.535 m),LA_VALL_DE_BOI___BOI_2535_M_Z2,2026-01-22,2026-01-22 06:46:19,https://www.meteo.cat/observacions/xema/dades?codi=Z2&dia=2026-01-22T09:00Z,sense dades,96%,1.0 mm,,0.0 MJ/m2,0.0 km/h - 0º 0:00 TU,-4.6 °C 0:00 TU,-5.6 °C 5:29 TU,-5.1 °C
YD,Les Borges Blanques - Les Borges Blanques,LES_BORGES_BLANQUES___LES_BORGES_BLANQUES_YD,2026-01-22,2026-01-22 06:46:22,https://www.meteo.cat/observacions/xema/dades?codi=YD&dia=2026-01-22T09:00Z,,97%,0.1 mm,995.7 hPa,0.0 MJ/m2,31.0 km/h - 274º 4:52 TU,7.9 °C 3:58 TU,6.3 °C 0:47 TU,7.1 °C
US,Les Cases D'alcanar,LES_CASES_DALCANAR_US,2026-01-22,2026-01-22 06:46:24,https://www.meteo.cat/observacions/xema/dades?codi=US&dia=2026-01-22T09:00Z,,91%,0.4 mm,,0.0 MJ/m2,20.5 km/h - 355º 4:53 TU,10.8 °C 0:00 TU,6.7 °C 3:30 TU,8.7 °C
Z5,Lladorre - Certascan (2.400 m),LLADORRE___CERTASCAN_2400_M_Z5,2026-01-22,2026-01-22 06:46:26,https://www.meteo.cat/observacions/xema/dades?codi=Z5&dia=2026-01-22T09:00Z,120 cm,93%,2.9 mm,,0.0 MJ/m2,46.4 km/h - 356º 5:12 TU,-4.5 °C 2:32 TU,-5.9 °C 5:28 TU,-4.9 °C
VO,Lladurs,LLADURS_VO,2026-01-22,2026-01-22 06:46:29,https://www.meteo.cat/observacions/xema/dades?codi=VO&dia=2026-01-22T09:00Z,,100%,0.5 mm,,0.0 MJ/m2,11.5 km/h - 66º 5:28 TU,4.9 °C 2:53 TU,4.2 °C 5:20 TU,4.6 °C
YJ,Lleida - la Femosa,LLEIDA___LA_FEMOSA_YJ,2026-01-22,2026-01-22 06:46:32,https://www.meteo.cat/observacions/xema/dades?codi=YJ&dia=2026-01-22T09:00Z,,95%,0.0 mm,,0.0 MJ/m2,19.4 km/h - 224º 5:25 TU,8.2 °C 0:03 TU,7.1 °C 2:53 TU,7.5 °C
VK,Lleida - Raimat,LLEIDA___RAIMAT_VK,2026-01-22,2026-01-22 06:46:34,https://www.meteo.cat/observacions/xema/dades?codi=VK&dia=2026-01-22T09:00Z,,99%,0.0 mm,996.1 hPa,0.0 MJ/m2,19.4 km/h - 296º 4:36 TU,8.0 °C 0:31 TU,5.9 °C 5:26 TU,7.1 °C
WI,Maials,MAIALS_WI,2026-01-22,2026-01-22 06:46:37,https://www.meteo.cat/observacions/xema/dades?codi=WI&dia=2026-01-22T09:00Z,,100%,0.3 mm,,0.0 MJ/m2,17.3 km/h - 144º 0:17 TU,7.5 °C 0:07 TU,6.4 °C 5:29 TU,6.9 °C
WT,Malgrat de Mar,MALGRAT_DE_MAR_WT,2026-01-22,2026-01-22 06:46:39,https://www.meteo.cat/observacions/xema/dades?codi=WT&dia=2026-01-22T09:00Z,,84%,0.1 mm,994.4 hPa,0.0 MJ/m2,22.7 km/h - 259º 0:04 TU,12.3 °C 1:38 TU,10.2 °C 4:50 TU,11.6 °C
D1,Margalef,MARGALEF_D1,2026-01-22,2026-01-22 06:46:41,https://www.meteo.cat/observacions/xema/dades?codi=D1&dia=2026-01-22T09:00Z,,94%,0.9 mm,996.1 hPa,0.0 MJ/m2,25.2 km/h - 237º 5:03 TU,8.9 °C 0:59 TU,6.8 °C 3:41 TU,7.5 °C
C9,Mas de Barberans,MAS_DE_BARBERANS_C9,2026-01-22,2026-01-22 06:46:44,https://www.meteo.cat/observacions/xema/dades?codi=C9&dia=2026-01-22T09:00Z,,74%,0.7 mm,995.0 hPa,0.0 MJ/m2,79.2 km/h - 288º 5:24 TU,11.3 °C 3:14 TU,7.6 °C 0:25 TU,9.6 °C
YE,Massoteres,MASSOTERES_YE,2026-01-22,2026-01-22 06:46:46,https://www.meteo.cat/observacions/xema/dades?codi=YE&dia=2026-01-22T09:00Z,,97%,0.4 mm,,0.0 MJ/m2,24.5 km/h - 255º 5:18 TU,6.6 °C 0:35 TU,6.0 °C 1:50 TU,6.3 °C
YV,Mataró,MATARO_YV,2026-01-22,2026-01-22 06:46:49,https://www.meteo.cat/observacions/xema/dades?codi=YV&dia=2026-01-22T09:00Z,,89%,0.0 mm,,,30.2 km/h - 298º 5:17 TU,11.9 °C 5:08 TU,10.4 °C 1:32 TU,11.0 °C
WP,Mediona - Canaletes,MEDIONA___CANALETES_WP,2026-01-22,2026-01-22 06:46:51,https://www.meteo.cat/observacions/xema/dades?codi=WP&dia=2026-01-22T09:00Z,,97%,0.0 mm,,0.0 MJ/m2,5.0 km/h - 301º 1:25 TU,8.8 °C 0:48 TU,7.8 °C 1:26 TU,8.3 °C
Z3,Meranges - Malniu (2.230 m),MERANGES___MALNIU_2230_M_Z3,2026-01-22,2026-01-22 06:46:54,https://www.meteo.cat/observacions/xema/dades?codi=Z3&dia=2026-01-22T09:00Z,104 cm,88%,0.2 mm,,0.0 MJ/m2,24.8 km/h - 23º 4:30 TU,-2.7 °C 3:38 TU,-4.9 °C 0:32 TU,-3.9 °C
XI,Mollerussa,MOLLERUSSA_XI,2026-01-22,2026-01-22 06:46:56,https://www.meteo.cat/observacions/xema/dades?codi=XI&dia=2026-01-22T09:00Z,,96%,0.0 mm,996.0 hPa,0.0 MJ/m2,16.9 km/h - 252º 5:29 TU,8.1 °C 0:21 TU,7.1 °C 3:01 TU,7.5 °C
CG,Molló - Fabert,MOLLO___FABERT_CG,2026-01-22,2026-01-22 06:46:59,https://www.meteo.cat/observacions/xema/dades?codi=CG&dia=2026-01-22T09:00Z,5 cm,83%,0.0 mm,994.4 hPa,0.0 MJ/m2,22.0 km/h - 2º 3:00 TU,3.2 °C 2:57 TU,0.5 °C 0:19 TU,1.7 °C
WN,Monistrol de Montserrat - Montserrat - Sant Dimes,MONISTROL_DE_MONTSERRAT___MONTSERRAT___SANT_DIMES_,2026-01-22,2026-01-22 06:47:01,https://www.meteo.cat/observacions/xema/dades?codi=WN&dia=2026-01-22T09:00Z,,100%,0.0 mm,,0.0 MJ/m2,43.9 km/h - 219º 0:07 TU,5.6 °C 3:42 TU,4.1 °C 5:29 TU,4.8 °C
YF,Mont-roig del Camp - Miami Platja,MONT_ROIG_DEL_CAMP___MIAMI_PLATJA_YF,2026-01-22,2026-01-22 06:47:04,https://www.meteo.cat/observacions/xema/dades?codi=YF&dia=2026-01-22T09:00Z,,94%,3.5 mm,994.9 hPa,0.0 MJ/m2,58.3 km/h - 304º 4:09 TU,10.5 °C 4:20 TU,8.3 °C 0:11 TU,9.4 °C
Z9,Montellà i Martinet - Cadí Nord (2.143 m) - Prat D'aguiló,MONTELLA_I_MARTINET___CADI_NORD_2143_M___PRAT_DAGU,2026-01-22,2026-01-22 06:47:06,https://www.meteo.cat/observacions/xema/dades?codi=Z9&dia=2026-01-22T09:00Z,sense dades,sense dades,sense dades,,sense dades,sense dades sense dades,sense dades sense dades,sense dades sense dades,sense dades
V4,Montesquiu,MONTESQUIU_V4,2026-01-22,2026-01-22 06:47:09,https://www.meteo.cat/observacions/xema/dades?codi=V4&dia=2026-01-22T09:00Z,,94%,0.0 mm,,,,6.2 °C 2:58 TU,4.6 °C 5:28 TU,5.6 °C
XA,Montmaneu - la Panadella,MONTMANEU___LA_PANADELLA_XA,2026-01-22,2026-01-22 06:47:11,https://www.meteo.cat/observacions/xema/dades?codi=XA&dia=2026-01-22T09:00Z,,100%,0.0 mm,996.2 hPa,0.0 MJ/m2,34.2 km/h - 295º 4:50 TU,5.9 °C 1:43 TU,4.6 °C 5:29 TU,5.3 °C
CY,Muntanyola,MUNTANYOLA_CY,2026-01-22,2026-01-22 06:47:14,https://www.meteo.cat/observacions/xema/dades?codi=CY&dia=2026-01-22T09:00Z,,100%,0.0 mm,994.9 hPa,0.0 MJ/m2,33.1 km/h - 229º 1:03 TU,5.7 °C 1:22 TU,4.9 °C 5:24 TU,5.5 °C
Y5,Navata,NAVATA_Y5,2026-01-22,2026-01-22 06:47:16,https://www.meteo.cat/observacions/xema/dades?codi=Y5&dia=2026-01-22T09:00Z,,80%,0.0 mm,,0.0 MJ/m2,29.9 km/h - 206º 0:56 TU,11.1 °C 1:17 TU,6.7 °C 5:13 TU,8.9 °C
MW,Navès,NAVES_MW,2026-01-22,2026-01-22 06:47:19,https://www.meteo.cat/observacions/xema/dades?codi=MW&dia=2026-01-22T09:00Z,,,,,,,,,
VY,Nulles,NULLES_VY,2026-01-22,2026-01-22 06:47:21,https://www.meteo.cat/observacions/xema/dades?codi=VY&dia=2026-01-22T09:00Z,,95%,1.3 mm,,,,9.3 °C 4:52 TU,8.3 °C 3:22 TU,8.9 °C
W5,Oliana,OLIANA_W5,2026-01-22,2026-01-22 06:47:23,https://www.meteo.cat/observacions/xema/dades?codi=W5&dia=2026-01-22T09:00Z,,95%,0.3 mm,,0.0 MJ/m2,18.0 km/h - 269º 4:11 TU,6.3 °C 4:29 TU,5.6 °C 5:18 TU,5.9 °C
WA,Oliola,OLIOLA_WA,2026-01-22,2026-01-22 06:47:26,https://www.meteo.cat/observacions/xema/dades?codi=WA&dia=2026-01-22T09:00Z,,98%,0.3 mm,,0.0 MJ/m2,13.3 km/h - 280º 4:39 TU,6.4 °C 5:28 TU,6.0 °C 3:36 TU,6.2 °C
YB,Olot,OLOT_YB,2026-01-22,2026-01-22 06:47:28,https://www.meteo.cat/observacions/xema/dades?codi=YB&dia=2026-01-22T09:00Z,,75%,0.0 mm,993.9 hPa,0.0 MJ/m2,34.6 km/h - 272º 1:08 TU,9.8 °C 1:11 TU,6.1 °C 5:17 TU,8.3 °C
CJ,Organyà,ORGANYA_CJ,2026-01-22,2026-01-22 06:47:31,https://www.meteo.cat/observacions/xema/dades?codi=CJ&dia=2026-01-22T09:00Z,,100%,0.4 mm,996.4 hPa,0.0 MJ/m2,18.7 km/h - 336º 4:59 TU,4.8 °C 0:29 TU,4.3 °C 4:19 TU,4.7 °C
CC,Orís,ORIS_CC,2026-01-22,2026-01-22 06:47:34,https://www.meteo.cat/observacions/xema/dades?codi=CC&dia=2026-01-22T09:00Z,,92%,0.0 mm,995.1 hPa,0.0 MJ/m2,14.8 km/h - 278º 3:18 TU,6.7 °C 3:29 TU,5.7 °C 5:15 TU,6.1 °C
UY,Os de Balaguer - el Monestir D'avellanes,OS_DE_BALAGUER___EL_MONESTIR_DAVELLANES_UY,2026-01-22,2026-01-22 06:47:36,https://www.meteo.cat/observacions/xema/dades?codi=UY&dia=2026-01-22T09:00Z,,sense dades,sense dades,,sense dades,sense dades sense dades,sense dades sense dades,sense dades sense dades,sense dades
YP,Palafrugell,PALAFRUGELL_YP,2026-01-22,2026-01-22 06:47:38,https://www.meteo.cat/observacions/xema/dades?codi=YP&dia=2026-01-22T09:00Z,,81%,0.0 mm,,0.0 MJ/m2,39.2 km/h - 211º 0:34 TU,12.2 °C 2:08 TU,10.4 °C 4:58 TU,11.7 °C
