ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
X9,Caldes de Montbui,CALDES_DE_MONTBUI_X9,2026-02-07,2026-02-07 17:58:25,https://www.meteo.cat/observacions/xema/dades?codi=X9&dia=2026-02-07T09:00Z,,60%,0.0 mm,1004.7 hPa,12.7 MJ/m2,38.9 km/h - 302º 4:55 TU,14.5 °C 14:43 TU,7.0 °C 2:26 TU,11.0 °C
WX,Camarasa,CAMARASA_WX,2026-02-07,2026-02-07 17:58:27,https://www.meteo.cat/observacions/xema/dades?codi=WX&dia=2026-02-07T09:00Z,,83%,0.1 mm,,12.4 MJ/m2,31.0 km/h - 279º 12:09 TU,10.7 °C 13:52 TU,2.3 °C 4:08 TU,5.5 °C
XU,Canyelles,CANYELLES_XU,2026-02-07,2026-02-07 17:58:30,https://www.meteo.cat/observacions/xema/dades?codi=XU&dia=2026-02-07T09:00Z,,53%,0.0 mm,,12.5 MJ/m2,46.8 km/h - 319º 11:13 TU,15.7 °C 13:22 TU,8.0 °C 1:19 TU,11.9 °C
MQ,Cardona,CARDONA_MQ,2026-02-07,2026-02-07 17:58:32,https://www.meteo.cat/observacions/xema/dades?codi=MQ&dia=2026-02-07T09:00Z,,75%,0.0 mm,,,,13.2 °C 13:43 TU,4.7 °C 7:31 TU,8.2 °C
UN,Cassà de la Selva,CASSA_DE_LA_SELVA_UN,2026-02-07,2026-02-07 17:58:34,https://www.meteo.cat/observacions/xema/dades?codi=UN&dia=2026-02-07T09:00Z,,74%,0.0 mm,,11.7 MJ/m2,19.8 km/h - 202º 12:17 TU,16.0 °C 15:21 TU,2.4 °C 5:16 TU,9.0 °C
DO,"Castell D'aro, Platja D'aro i S'agaró - Castell D'aro",CASTELL_DARO_PLATJA_DARO_I_SAGARO___CASTELL_DARO_D,2026-02-07,2026-02-07 17:58:37,https://www.meteo.cat/observacions/xema/dades?codi=DO&dia=2026-02-07T09:00Z,,67%,0.0 mm,1004.0 hPa,11.7 MJ/m2,23.4 km/h - 285º 6:05 TU,17.5 °C 13:35 TU,4.8 °C 3:20 TU,10.9 °C
MS,Castellar de N'hug - el Clot del Moro,CASTELLAR_DE_NHUG___EL_CLOT_DEL_MORO_MS,2026-02-07,2026-02-07 17:58:39,https://www.meteo.cat/observacions/xema/dades?codi=MS&dia=2026-02-07T09:00Z,,84%,0.1 mm,,,,11.0 °C 14:37 TU,-0.4 °C 5:18 TU,3.8 °C
XC,Castellbisbal,CASTELLBISBAL_XC,2026-02-07,2026-02-07 17:58:42,https://www.meteo.cat/observacions/xema/dades?codi=XC&dia=2026-02-07T09:00Z,,58%,0.0 mm,1005.7 hPa,12.6 MJ/m2,54.0 km/h - 270º 8:37 TU,14.7 °C 15:00 TU,8.5 °C 2:06 TU,11.1 °C
U4,Castellnou de Bages,CASTELLNOU_DE_BAGES_U4,2026-02-07,2026-02-07 17:58:44,https://www.meteo.cat/observacions/xema/dades?codi=U4&dia=2026-02-07T09:00Z,,77%,0.0 mm,,12.3 MJ/m2,59.4 km/h - 270º 5:44 TU,12.1 °C 14:40 TU,5.1 °C 7:40 TU,7.6 °C
C6,Castellnou de Seana,CASTELLNOU_DE_SEANA_C6,2026-02-07,2026-02-07 17:58:47,https://www.meteo.cat/observacions/xema/dades?codi=C6&dia=2026-02-07T09:00Z,,79%,0.1 mm,1007.2 hPa,12.3 MJ/m2,44.6 km/h - 267º 11:28 TU,13.5 °C 14:22 TU,2.4 °C 7:23 TU,8.0 °C
